Date,Time,Latitude,Longitude,Type,Depth,Magnitude,NormalizedLat,NormalizedLong,NormalizedDepth,NormalizedMag,,,,Latitude_max_min,Longitude_max_min,Depth_max_min,Magnitude_max_min
23744.00,0.5724,19.246,145.616,Earthquake,131.6,6,0.590649048,0.904493118,0.189273998,0.138888889,,,min,-77.08,-179.997,-1.1,5.5
23746.00,0.4790,1.863,127.352,Earthquake,80,5.8,0.484060459,0.85375908,0.115675367,0.083333333,,,max,86.005,179.998,700,9.1
23747.00,0.7541,-20.579,-173.972,Earthquake,20,6.2,0.346451237,0.016736344,0.030095564,0.194444444,,,,,,,
23750.00,0.7845,-59.076,-23.557,Earthquake,15,5.8,0.110396419,0.434561591,0.022963914,0.083333333,,,,,,,
23751.00,0.5645,11.938,126.427,Earthquake,15,5.8,0.54583806,0.8511896,0.022963914,0.083333333,,,,,,,
23752.00,0.5670,-13.405,166.629,Earthquake,35,6.7,0.390440568,0.962863373,0.051490515,0.333333333,,,,,,,
23754.00,0.5642,27.357,87.867,Earthquake,20,5.9,0.640383849,0.744077001,0.030095564,0.111111111,,,,,,,
23757.00,0.9706,-13.309,166.212,Earthquake,35,6,0.391029218,0.961705024,0.051490515,0.138888889,,,,,,,
23758.00,0.4810,-56.452,-27.043,Earthquake,95,6,0.126486188,0.424878123,0.137070318,0.138888889,,,,,,,
23759.00,0.4467,-24.563,178.487,Earthquake,565,5.8,0.322022258,0.995802719,0.807445443,0.083333333,,,,,,,
23759.00,0.8734,-6.807,108.988,Earthquake,227.9,5.9,0.430897998,0.80274726,0.326629582,0.111111111,,,,,,,
23766.00,0.0078,-2.608,125.952,Earthquake,20,8.2,0.456645308,0.849870137,0.030095564,0.75,,,,,,,
23771.00,0.3997,54.636,161.703,Earthquake,55,5.5,0.807652451,0.94917985,0.080017116,0,,,,,,,
23774.00,0.2272,-18.697,-177.864,Earthquake,482.9,5.6,0.357991232,0.005925082,0.690343746,0.027777778,,,,,,,
23775.00,0.6645,37.523,73.251,Earthquake,15,6,0.702719441,0.703476437,0.022963914,0.138888889,,,,,,,
23777.00,0.1424,-51.84,139.741,Earthquake,10,6.1,0.15476592,0.888173447,0.015832264,0.166666667,,,,,,,
23777.00,0.2093,51.251,178.715,Earthquake,30.3,8.7,0.786896404,0.996436062,0.044786764,0.888888889,,,,,,,
23777.00,0.2535,51.639,175.055,Earthquake,30,6,0.789275531,0.986269254,0.044358865,0.138888889,,,,,,,
23777.00,0.2758,52.528,172.007,Earthquake,25,5.7,0.794726676,0.977802469,0.037227214,0.055555556,,,,,,,
23777.00,0.2775,51.626,175.746,Earthquake,25,5.8,0.789195818,0.988188725,0.037227214,0.083333333,,,,,,,
23777.00,0.2996,51.037,177.848,Earthquake,25,5.9,0.785584205,0.994027695,0.037227214,0.111111111,,,,,,,
23777.00,0.3021,51.73,173.975,Earthquake,20,5.9,0.789833522,0.983269212,0.030095564,0.111111111,,,,,,,
23777.00,0.3078,51.775,173.058,Earthquake,10,5.7,0.790109452,0.980721954,0.015832264,0.055555556,,,,,,,
23777.00,0.3220,52.611,172.588,Earthquake,24,5.7,0.795235613,0.979416381,0.035800884,0.055555556,,,,,,,
23777.00,0.3377,51.831,174.368,Earthquake,31.8,5.7,0.790452831,0.984360894,0.046926259,0.055555556,,,,,,,
23777.00,0.3567,51.948,173.969,Earthquake,20,5.6,0.791170249,0.983252545,0.030095564,0.027777778,,,,,,,
23777.00,0.3616,51.443,179.605,Earthquake,30,7.3,0.788073704,0.998908318,0.044358865,0.5,,,,,,,
23777.00,0.5043,52.773,171.974,Earthquake,30,6.5,0.79622896,0.977710802,0.044358865,0.277777778,,,,,,,
23777.00,0.5354,51.772,174.696,Earthquake,20,5.6,0.790091057,0.985272018,0.030095564,0.027777778,,,,,,,
23777.00,0.5962,52.975,171.091,Earthquake,25,6.4,0.797467578,0.97525799,0.037227214,0.25,,,,,,,
23777.00,0.6607,52.99,170.874,Earthquake,25,5.8,0.797559555,0.974655204,0.037227214,0.083333333,,,,,,,
23777.00,0.7738,51.536,175.045,Earthquake,25,5.8,0.788643959,0.986241476,0.037227214,0.083333333,,,,,,,
23777.00,0.8223,13.245,-44.922,Earthquake,10,5.8,0.553852286,0.375213545,0.015832264,0.083333333,,,,,,,
23777.00,0.9375,51.812,174.206,Earthquake,10,5.7,0.790336328,0.983910888,0.015832264,0.055555556,,,,,,,
23778.00,0.2777,51.762,174.841,Earthquake,25,5.7,0.790029739,0.985674801,0.037227214,0.055555556,,,,,,,
23778.00,0.3973,52.438,174.321,Earthquake,39.5,6.3,0.794174817,0.984230337,0.057909,0.222222222,,,,,,,
23778.00,0.5686,51.946,173.84,Earthquake,30,5.7,0.791157985,0.982894207,0.044358865,0.055555556,,,,,,,
23778.00,0.8661,51.738,174.566,Earthquake,20,6,0.789882577,0.984910902,0.030095564,0.138888889,,,,,,,
23778.00,0.9278,51.487,176.558,Earthquake,30.4,5.6,0.788343502,0.990444312,0.044929397,0.027777778,,,,,,,
23779.00,0.0698,53.008,-162.008,Earthquake,17.8,6.4,0.797669927,0.049970138,0.026957638,0.25,,,,,,,
23779.00,0.1687,52.184,175.505,Earthquake,27.7,6.2,0.792617347,0.987519271,0.041078306,0.194444444,,,,,,,
23779.00,0.3019,52.076,172.918,Earthquake,30.1,5.6,0.791955115,0.98033306,0.044501498,0.027777778,,,,,,,
23779.00,0.5156,51.744,175.213,Earthquake,37.4,5.7,0.789919367,0.986708149,0.054913707,0.055555556,,,,,,,
23779.00,0.5911,52.057,174.116,Earthquake,17.5,5.7,0.791838612,0.983660884,0.026529739,0.055555556,,,,,,,
